FRO,Faeroe Islands,49053,34658,70.65
GIB,Gibraltar,33691,19306,57.30
AND,Andorra,77354,43774,56.59
CYP,Cyprus,896005,,56.33
DNK,Denmark,5813302,,54.38
ISL,Iceland,368792,192991,52.33
SMR,San Marino,34010,17719,52.10
FLK,Falkland Islands,3528,1807,51.22
PRT,Portugal,10167923,,50.36
SVN,Slovenia,2078723,,49.75
AUT,Austria,9043072,4400566,48.66
SPM,Saint Pierre and Miquelon,5771,2767,47.95
NLD,Netherlands,17173094,8163222,47.53
SVK,Slovakia,5449270,2548586,46.77
LIE,Liechtenstein,38254,17814,46.57
ISR,Israel,9291000,,46.21
FRA,France,67422000,30574230,45.35
SYC,Seychelles,98910,44669,45.16
LVA,Latvia,1866934,,44.61
EST,Estonia,1325188,,43.72
LTU,Lithuania,2689862,1159450,43.10
CHE,Switzerland,8715494,3726615,42.76
GEO,Georgia,3979773,1659371,41.70
CYM,Cayman Islands,66498,27171,40.86
LUX,Luxembourg,634814,,40.72
IMN,Isle of Man,85410,33821,39.60
BES,Bonaire Sint Eustatius and Saba,26445,10320,39.02
MNE,Montenegro,628051,239291,38.10
ABW,Aruba,107195,40595,37.87
CZE,Czechia,10724553,3929036,36.64
BEL,Belgium,11632334,4211511,36.21
BRN,Brunei,441532,159591,36.14
KOR,South Korea,51305184,18326019,35.72
BHR,Bahrain,1748295,616588,35.27
GRC,Greece,10370747,,34.79
GBR,United Kingdom,68207114,22671160,33.24
MDV,Maldives,543620,180384,33.18
DEU,Germany,83900471,27771112,33.10
COK,Cook Islands,17572,5768,32.82
MCO,Monaco,39520,12808,32.41
IRL,Ireland,4982904,1587385,31.86
AUS,Australia,25788217,8000312,31.02
ITA,Italy,60367471,18184917,30.12
SRB,Serbia,6871547,,29.48
BRB,Barbados,287708,83663,29.08
PLW,Palau,18174,5201,28.62
HRV,Croatia,4081657,1145053,28.05
MNG,Mongolia,3329282,926282,27.82
URY,Uruguay,3485152,951948,27.31
ESP,Spain,46745211,12681820,27.13
CUW,Curacao,164796,44440,26.97
NOR,Norway,5465629,,26.42
USA,United States,332915074,86949088,26.12
PYF,French Polynesia,282534,73234,25.92
SGP,Singapore,5453600,1403242,25.73
BMU,Bermuda,62092,15957,25.70
NZL,New Zealand,5126300,1308387,25.52
SWE,Sweden,10160159,2515769,24.76
VGB,British Virgin Islands,30423,6941,22.81
AIA,Anguilla,15125,3411,22.55
NCL,New Caledonia,288217,63515,22.04
GRL,Greenland,56868,11971,21.05
PAN,Panama,4381583,,20.86
CHL,Chile,19212362,3948012,20.55
DMA,Dominica,72172,14821,20.54
ARG,Argentina,45605823,,20.48
FIN,Finland,5548361,1133597,20.43
MSR,Montserrat,4981,1016,20.40
HUN,Hungary,9634162,,19.98
MLT,Malta,516100,,19.49
MUS,Mauritius,1273428,229479,18.02
TUR,Turkey,85042736,15085742,17.74
CRI,Costa Rica,5139053,904934,17.61
BGR,Bulgaria,6896655,1169968,16.96
JOR,Jordan,10269022,1698316,16.54
HKG,Hong Kong,7552800,1235960,16.36
LBN,Lebanon,6769151,1107602,16.36
GRD,Grenada,113015,18270,16.17
POL,Poland,37797000,6012979,15.91
TCA,Turks and Caicos Islands,39226,6211,15.83
BLZ,Belize,404915,63037,15.57
ROU,Romania,19127772,2915487,15.24
MKD,North Macedonia,2082661,313360,15.05
TWN,Taiwan,23855008,,14.98
BRA,Brazil,213993441,32023166,14.96
KWT,Kuwait,4328553,641985,14.83
LCA,Saint Lucia,184401,26911,14.59
ARM,Armenia,2968128,,14.25
MYS,Malaysia,32776195,,13.90
SUR,Suriname,591798,80817,13.66
BWA,Botswana,2397240,318528,13.29
QAT,Qatar,2930524,379277,12.94
MDA,Moldova,4024025,519741,12.92
OWID_KOS,Kosovo,1782115,228673,12.83
PSE,Palestine,5222756,658503,12.61
RUS,Russia,145912022,18147044,12.44
COL,Colombia,51265841,6151354,12.00
TTO,Trinidad and Tobago,1403374,166682,11.88
UKR,Ukraine,43466822,5040518,11.60
BIH,Bosnia and Herzegovina,3263459,378413,11.60
TON,Tonga,106759,,11.31
KNA,Saint Kitts and Nevis,53546,5941,11.10
VNM,Vietnam,98168829,10742891,10.94
PER,Peru,33359415,3613464,10.83
CPV,Cape Verde,561901,59265,10.55
BLR,Belarus,9442867,982867,10.41
CAN,Canada,38067913,3940503,10.35
CUB,Cuba,11317498,1105896,9.77
ALB,Albania,2872934,,9.70
ARE,United Arab Emirates,9991083,937037,9.38
PRY,Paraguay,7219641,,9.08
BHS,Bahamas,396914,35814,9.02
TUN,Tunisia,11935764,1046703,8.77
ATG,Antigua and Barbuda,98728,8625,8.74
IRN,Iran,85028760,7236064,8.51
VCT,Saint Vincent and the Grenadines,111269,9447,8.49
GUY,Guyana,790329,67058,8.48
BOL,Bolivia,11832936,920595,7.78
AZE,Azerbaijan,10223344,793140,7.76
BTN,Bhutan,779900,59674,7.65
OMN,Oman,5223376,390244,7.47
WSM,Samoa,200144,14812,7.40
KAZ,Kazakhstan,18994958,1395399,7.35
JPN,Japan,126050796,9227180,7.32
FJI,Fiji,902899,,7.25
LBY,Libya,6958538,,7.22
ZAF,South Africa,60041996,,6.65
NAM,Namibia,2587344,169076,6.53
THA,Thailand,69950844,,6.45
SWZ,Eswatini,1172369,73071,6.23
IRQ,Iraq,41179351,2338109,5.68
DOM,Dominican Republic,10953714,600410,5.48
ECU,Ecuador,17888474,901739,5.04
GTM,Guatemala,18249868,,4.91
JAM,Jamaica,2973462,142161,4.78
MEX,Mexico,130262220,,4.57
HND,Honduras,10062994,426490,4.24
WLF,Wallis and Futuna,11094,454,4.09
VAT,Vatican,812,29,3.57
VUT,Vanuatu,314464,11044,3.51
PHL,Philippines,111046910,3700028,3.33
NPL,Nepal,29674920,979512,3.30
MAR,Morocco,37344787,,3.22
IND,India,1393409033,43389973,3.11
LKA,Sri Lanka,21497306,664065,3.09
SLB,Solomon Islands,703995,21544,3.06
KGZ,Kyrgyzstan,6628347,201024,3.03
LAO,Laos,7379358,210238,2.85
STP,Sao Tome and Principe,223364,6023,2.70
KIR,Kiribati,121388,3236,2.67
SLV,El Salvador,6518500,169646,2.60
SAU,Saudi Arabia,35340680,788294,2.23
IDN,Indonesia,276361788,6078725,2.20
GAB,Gabon,2278829,47824,2.10
VEN,Venezuela,28704947,525716,1.83
ZMB,Zambia,18920657,325110,1.72
TLS,Timor,1343875,22950,1.71
ZWE,Zimbabwe,15092171,255309,1.69
LSO,Lesotho,2159067,33938,1.57
DJI,Djibouti,1002197,15690,1.57
MRT,Mauritania,4775110,59428,1.24
BGD,Bangladesh,166303494,1963493,1.18
MMR,Myanmar,54806014,613553,1.12
GNQ,Equatorial Guinea,1449891,16001,1.10
RWA,Rwanda,13276517,130787,0.99
COM,Comoros,888456,8136,0.92
OWID_AFR,Africa,1373486472,,0.88
KHM,Cambodia,16946446,136262,0.80
UZB,Uzbekistan,33935765,240206,0.71
MOZ,Mozambique,32163045,227616,0.71
PAK,Pakistan,225199929,1533482,0.68
KEN,Kenya,54985702,,0.60
DZA,Algeria,44616626,266030,0.60
GHA,Ghana,31732128,164843,0.52
SEN,Senegal,17196308,,0.50
EGY,Egypt,104258327,515645,0.49
PNG,Papua New Guinea,9119005,44702,0.49
GMB,Gambia,2486937,12002,0.48
AFG,Afghanistan,39835428,182072,0.46
CMR,Cameroon,27224262,120002,0.44
TGO,Togo,8478242,,0.44
MWI,Malawi,19647681,,0.44
COG,Congo,5657017,24128,0.43
GNB,Guinea-Bissau,2015490,8348,0.41
ETH,Ethiopia,117876226,487217,0.41
UGA,Uganda,47123533,167367,0.36
BDI,Burundi,12255429,42542,0.35
CIV,Cote d'Ivoire,27053629,82999,0.31
SYR,Syria,18275704,55920,0.31
CAF,Central African Republic,4919987,14649,0.30
AGO,Angola,33933611,99761,0.29
GIN,Guinea,13497237,36817,0.27
ERI,Eritrea,3601462,9788,0.27
HTI,Haiti,11541683,31301,0.27
MDG,Madagascar,28427333,65009,0.23
NIC,Nicaragua,6702379,14619,0.22
BEN,Benin,12451031,27122,0.22
TJK,Tajikistan,9749625,17786,0.18
SOM,Somalia,16359500,26748,0.16
SSD,South Sudan,11381377,17697,0.16
MLI,Mali,20855724,31153,0.15
LBR,Liberia,5180208,7493,0.14
SDN,Sudan,44909351,,0.14
NGA,Nigeria,211400704,256958,0.12
COD,Democratic Republic of Congo,92377986,91082,0.10
BFA,Burkina Faso,21497097,21044,0.10
SLE,Sierra Leone,8141343,7693,0.09
SHN,Saint Helena,6095,4,0.07
CHN,China,1444216102,888120,0.06
TZA,Tanzania,61498438,35366,0.06
TCD,Chad,16914985,7424,0.04
YEM,Yemen,30490639,11824,0.04
NER,Niger,25130810,9031,0.04
FSM,Micronesia (country),116255,38,0.03
MHL,Marshall Islands,59618,,0.03
MAC,Macao,658391,129,0.02
PRK,North Korea,25887045,,0.00
GUM,Guam,170184,,0.00
GGY,Guernsey,63385,,0.00
JEY,Jersey,101073,,0.00
NRU,Nauru,10873,,0.00
NIU,Niue,1614,,0.00
MNP,Northern Mariana Islands,57910,,0.00
PCN,Pitcairn,47,,0.00
PRI,Puerto Rico,2828246,,0.00
SXM,Sint Maarten (Dutch part),43421,,0.00
TKL,Tokelau,1368,,0.00
TKM,Turkmenistan,6117933,,0.00
TUV,Tuvalu,11925,,0.00
VIR,United States Virgin Islands,104218,,0.00
ESH,Western Sahara,611872,,0.00
OWID_CYN,Northern Cyprus,,,
